Proposal,Observation,Data Type,Intent,Instrument,Filter,Moving,Polygon Boundary,Exposure Start,Exposure End,Level 2 Members,Asteroids,Datalabs
1023,jw01023-o036_t009_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 83.31219144199986 -62.58659145200008 83.30393776000001 -62.617758023000285 83.23551681799978 -62.61390394399981 83.24384118500011 -62.58274141499972,2022-06-17 06:25:30.298,2022-06-17 06:37:29.033,jw01023036001_02101_00001_mirimage,,True
1023,jw01023-o038_t009_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 83.312209145 -62.58660051100026 83.30391302100021 -62.61776469600022 83.2354973540001 -62.61389088800023 83.24386414099992 -62.582730765999834,2022-06-17 07:04:35.267,2022-06-17 07:09:21.096,jw01023038001_02101_00001_mirimage,,True
1024,jw01024-c1000_t002_miri_f1000w,image,science,MIRI/IMAGE,F1000W,No,Polygon 80.45488100199974 -69.4871751870002 80.50118759399987 -69.51508233200012 80.42120591800007 -69.53133032400025 80.37496847600005 -69.50340200800011,2022-05-01 16:05:44.807,2022-05-01 16:59:32.279,"jw01024003001_02101_00001_mirimage, jw01024003001_02101_00002_mirimage, jw01024003001_02101_00003_mirimage, jw01024003001_02101_00004_mirimage, jw01024004001_02101_00001_mirimage, jw01024004001_02101_00002_mirimage, jw01024004001_02101_00003_mirimage, jw01024004001_02101_00004_mirimage",,True
1024,jw01024-c1000_t002_miri_f1500w,image,science,MIRI/IMAGE,F1500W,No,Polygon 80.45502840100008 -69.48704342699978 80.50139800600012 -69.51498765199987 80.420092537 -69.53150476200022 80.37379331899994 -69.50353898599994,2022-05-01 17:07:12.932,2022-05-01 18:01:05.907,"jw01024005001_02101_00001_mirimage, jw01024005001_02101_00002_mirimage, jw01024005001_02101_00003_mirimage, jw01024005001_02101_00004_mirimage, jw01024006001_02101_00001_mirimage, jw01024006001_02101_00002_mirimage, jw01024006001_02101_00003_mirimage, jw01024006001_02101_00004_mirimage",,True
1024,jw01024-c1000_t002_miri_f2550w,image,science,MIRI/IMAGE,F2550W,No,Polygon 80.45580386700023 -69.48665406600028 80.503028624 -69.51511206600013 80.42102680099985 -69.53177156199997 80.37387433599993 -69.50329142700012,2022-05-01 18:09:25.408,2022-05-01 19:03:23.951,"jw01024007001_02101_00001_mirimage, jw01024007001_02101_00002_mirimage, jw01024007001_02101_00003_mirimage, jw01024007001_02101_00004_mirimage, jw01024008001_02101_00001_mirimage, jw01024008001_02101_00002_mirimage, jw01024008001_02101_00003_mirimage, jw01024008001_02101_00004_mirimage",,True
1024,jw01024-c1000_t002_miri_f770w,image,science,MIRI/IMAGE,F770W,No,Polygon 80.45456027600012 -69.48702924800004 80.50051801899983 -69.51472727200024 80.42067497200009 -69.53094685399982 80.37478574300019 -69.50322785399985,2022-05-01 15:03:32.267,2022-05-01 15:57:22.490,"jw01024001001_02101_00001_mirimage, jw01024001001_04101_00001_mirimage, jw01024001001_04101_00002_mirimage, jw01024001001_04101_00003_mirimage, jw01024001001_04101_00004_mirimage, jw01024002001_02101_00001_mirimage, jw01024002001_02101_00002_mirimage, jw01024002001_02101_00003_mirimage, jw01024002001_02101_00004_mirimage",,True
1024,jw01024-o001_t002_miri_f770w,image,science,MIRI/IMAGE,F770W,No,Polygon 80.45456027799975 -69.48702924899985 80.50007487400003 -69.51446066800018 80.42031174800022 -69.53066393300001 80.37486493899992 -69.50321176100022,2022-05-01 15:03:32.267,2022-05-01 15:27:02.012,"jw01024001001_02101_00001_mirimage, jw01024001001_04101_00001_mirimage, jw01024001001_04101_00002_mirimage, jw01024001001_04101_00003_mirimage, jw01024001001_04101_00004_mirimage",,True
1024,jw01024-o002_t002_miri_f770w,image,science,MIRI/IMAGE,F770W,No,Polygon 80.45509218899988 -69.48735805900021 80.50050660600026 -69.51472996499986 80.4206658300001 -69.53094800100003 80.37531912299993 -69.50355536800005,2022-05-01 15:34:03.881,2022-05-01 15:57:22.490,"jw01024002001_02101_00001_mirimage, jw01024002001_02101_00002_mirimage, jw01024002001_02101_00003_mirimage, jw01024002001_02101_00004_mirimage",,True
1024,jw01024-o003_t002_miri_f1000w,image,science,MIRI/IMAGE,F1000W,No,Polygon 80.45473881700015 -69.48720411300023 80.50104528599998 -69.51511129700025 80.42136398899996 -69.53129827300017 80.37512641099983 -69.50336999799974,2022-05-01 16:05:44.807,2022-05-01 16:29:11.800,"jw01024003001_02101_00001_mirimage, jw01024003001_02101_00002_mirimage, jw01024003001_02101_00003_mirimage, jw01024003001_02101_00004_mirimage",,True
1024,jw01024-o004_t002_miri_f1000w,image,science,MIRI/IMAGE,F1000W,No,Polygon 80.45493785999996 -69.4872078079999 80.50114092099997 -69.51505427299982 80.42115635599971 -69.53130183900011 80.37502230100007 -69.50343424899987,2022-05-01 16:36:08.038,2022-05-01 16:59:32.279,"jw01024004001_02101_00001_mirimage, jw01024004001_02101_00002_mirimage, jw01024004001_02101_00003_mirimage, jw01024004001_02101_00004_mirimage",,True
