Proposal,Observation,Filter,Moving,Image Intent,Polygon,Exp Start,Exp End,Asteroids,JPL Classification,S/N,JPL Phase Angle (Deg),JPL Sun-Asteroid Dist (AU),JPL Asteroid-JWST Dist (AU),JPL Diameter (km),JPL Geo Albedo,JPL Pos Uncertainty (Arcsec)
1837,jw01837001007_08101_00002_mirimage,F1800W,No,science,Polygon 34.374987762999986 -5.125083697999998 34.40539221200001 -5.117057024000001 34.413714897999974 -5.147356603999999 34.38343479500003 -5.1556498610000006,2023-01-21 03:45:36.668,2023-01-21 03:53:03.449,,,,,,,,,
1837,jw01837001008_02101_00001_mirimage,F770W,No,science,Polygon 34.40763452499999 -5.124465113000001 34.438039286 -5.116436751000001 34.446363286999976 -5.146735669000003 34.41608337300002 -5.155030861999998,2023-01-21 04:05:57.682,2023-01-21 04:13:21.688,,,,,,,,,
1837,jw01837001008_02101_00002_mirimage,F770W,No,science,Polygon 34.40765481799998 -5.124949879000001 34.43805957899998 -5.116921429999997 34.446383673000014 -5.147220325 34.416103759 -5.155515603999998,2023-01-21 04:14:44.978,2023-01-21 04:22:08.984,,,,,,,,,
1837,jw01837001008_04101_00001_mirimage,F770W,No,science,Polygon 34.407633909000005 -5.1244649770000015 34.43803864900001 -5.116436535 34.446362728999986 -5.146735430999998 34.416082837000005 -5.155030704,2023-01-21 04:27:28.113,2023-01-21 04:34:52.119,,,,,,,,,
1837,jw01837001008_04101_00002_mirimage,F770W,No,science,Polygon 34.40765474999998 -5.124949832999998 34.438059513000006 -5.116921390000003 34.446383601000015 -5.147220286 34.416103686000014 -5.155515559000001,2023-01-21 04:36:20.912,2023-01-21 04:43:44.918,,,,,,,,,
1837,jw01837001008_06101_00001_mirimage,F1800W,No,science,Polygon 34.40760998699999 -5.124459115999998 34.43801396899998 -5.116430799000001 34.44633829800002 -5.146729930000001 34.41605867599998 -5.155024822999999,2023-01-21 04:49:42.937,2023-01-21 04:57:09.718,,,,,,,,,
1837,jw01837001008_06101_00002_mirimage,F1800W,No,science,Polygon 34.40763086200002 -5.124943940999999 34.43803486899999 -5.116915629000004 34.44635920000001 -5.147214759999999 34.41607955299998 -5.155509649000002,2023-01-21 04:58:32.984,2023-01-21 05:05:59.765,,,,,,,,,
1837,jw01837001008_08101_00001_mirimage,F1800W,No,science,Polygon 34.407609363999995 -5.124459023999999 34.43801332599998 -5.116430630000003 34.446337731999996 -5.146729738999999 34.41605813199998 -5.155024710000003,2023-01-21 05:11:30.007,2023-01-21 05:18:56.788,,,,,,,,,
1837,jw01837001008_08101_00002_mirimage,F1800W,No,science,Polygon 34.407630460999975 -5.124943876 34.43803445599998 -5.116915520000002 34.44635883000002 -5.147214639999999 34.41607919600001 -5.155509572000002,2023-01-21 05:20:20.055,2023-01-21 05:27:46.836,,,,,,,,,
1837,jw01837001009_02101_00001_mirimage,F770W,No,science,Polygon 34.38023920800002 -5.144487613999997 34.410645197000015 -5.136460283999998 34.418968425999985 -5.166759484000002 34.388687272000006 -5.175053649999997,2023-01-21 05:40:43.885,2023-01-21 05:48:07.891,,,,,,,,,
1837,jw01837001009_02101_00002_mirimage,F770W,No,science,Polygon 34.38026036499998 -5.144972476999999 34.41066639399998 -5.136945206000003 34.41898956999999 -5.167244421999999 34.38870837699997 -5.175538529999999,2023-01-21 05:49:28.364,2023-01-21 05:56:52.370,,,,,,,,,
1837,jw01837001009_04101_00001_mirimage,F770W,No,science,Polygon 34.380239507 -5.144487562999999 34.410645508000016 -5.136460276000002 34.41896869400002 -5.166759488000003 34.38868752800002 -5.175053610999998,2023-01-21 06:02:19.883,2023-01-21 06:09:43.889,,,,,,,,,
1837,jw01837001009_04101_00002_mirimage,F770W,No,science,Polygon 34.38026044400002 -5.144972506 34.41066647400002 -5.136945239999999 34.41898964499999 -5.167244456999996 34.38870845099999 -5.175538560000001,2023-01-21 06:11:07.115,2023-01-21 06:18:31.121,,,,,,,,,
1837,jw01837001009_06101_00001_mirimage,F1800W,No,science,Polygon 34.38021547899998 -5.144481809999998 34.410620714 -5.136454610999997 34.41894418499999 -5.166754047000003 34.38866329999997 -5.175047828,2023-01-21 06:24:31.891,2023-01-21 06:31:58.672,,,,,,,,,
1837,jw01837001009_06101_00002_mirimage,F1800W,No,science,Polygon 34.38023620899998 -5.144966684000002 34.410641461 -5.136939465 34.41896495800001 -5.167238895000002 34.388684056 -5.175532697000003,2023-01-21 06:33:21.938,2023-01-21 06:40:48.719,,,,,,,,,
1837,jw01837001009_08101_00001_mirimage,F1800W,No,science,Polygon 34.38021564800001 -5.144481794000002 34.41062088700002 -5.136454614999998 34.418944338999985 -5.166754056000001 34.38866344800001 -5.175047818000002,2023-01-21 06:46:02.322,2023-01-21 06:53:29.103,,,,,,,,,
1837,jw01837001009_08101_00002_mirimage,F1800W,No,science,Polygon 34.38023642300001 -5.144966713999998 34.41064168300001 -5.136939526000003 34.41896515099998 -5.167238963999997 34.38868424 -5.175532736000002,2023-01-21 06:54:49.617,2023-01-21 07:02:16.398,,,,,,,,,
1837,jw01837001010_02101_00001_mirimage,F770W,No,science,Polygon 34.44552930400001 -5.144205148000001 34.47593450499998 -5.136174904000001 34.48426065900002 -5.166473305999999 34.45398032000003 -5.174770375000002,2023-01-21 21:18:42.917,2023-01-21 21:26:06.923,,,,,,,,,
1837,jw01837001010_02101_00002_mirimage,F770W,No,science,Polygon 34.44554979699998 -5.144689869999998 34.47595499599997 -5.1366595309999985 34.484281250000016 -5.166957908000003 34.45400091400003 -5.175255071,2023-01-21 21:27:27.397,2023-01-21 21:34:51.403,,,,,,,,,
1837,jw01837001010_04101_00001_mirimage,F770W,No,science,Polygon 34.445528614999986 -5.144204930999999 34.47593377599999 -5.136174538 34.48426007900001 -5.166472899000003 34.453979782 -5.1747701170000004,2023-01-21 21:40:13.348,2023-01-21 21:47:37.354,,,,,,,,,
1837,jw01837001010_04101_00002_mirimage,F770W,No,science,Polygon 34.445549652999986 -5.144689843999998 34.47595484099999 -5.136659465999999 34.48428113499999 -5.166957830999998 34.45400080999999 -5.175255034000001,2023-01-21 21:49:00.644,2023-01-21 21:56:24.650,,,,,,,,,
1837,jw01837001010_06101_00001_mirimage,F1800W,No,science,Polygon 34.44550462500002 -5.144199159000001 34.47590902100001 -5.1361688600000015 34.484235602000005 -5.166467447999999 34.453955582999974 -5.174764316000001,2023-01-21 22:02:17.100,2023-01-21 22:09:43.881,,,,,,,,,
1837,jw01837001010_06101_00002_mirimage,F1800W,No,science,Polygon 34.44552550799998 -5.144684029999999 34.475929922999995 -5.136653718999999 34.48425652300002 -5.166952303 34.45397648500002 -5.1752491839999974,2023-01-21 22:11:04.331,2023-01-21 22:18:31.112,,,,,,,,,
1837,jw01837001010_08101_00001_mirimage,F1800W,No,science,Polygon 34.44550476900001 -5.144199159000001 34.47590916899999 -5.136168874000002 34.484235735999995 -5.166467465 34.45395571299997 -5.174764320000003,2023-01-21 22:23:53.035,2023-01-21 22:31:19.816,,,,,,,,,
1837,jw01837001010_08101_00002_mirimage,F1800W,No,science,Polygon 34.44552565 -5.144684066000003 34.47593007 -5.136653769999999 34.484256654 -5.166952359000002 34.45397661100003 -5.175249224000003,2023-01-21 22:32:40.330,2023-01-21 22:40:07.111,,,,,,,,,
1837,jw01837001011_02101_00001_mirimage,F770W,No,science,Polygon 34.478214453000014 -5.144056103000002 34.50861927699999 -5.136024473 34.51694682100001 -5.166322495000001 34.486666869999986 -5.174620945,2023-01-21 22:52:55.840,2023-01-21 23:00:19.846,,,,,,,,,
1837,jw01837001011_02101_00002_mirimage,F770W,No,science,Polygon 34.478235409000014 -5.144540885999997 34.50864025799998 -5.136509261999997 34.51696780100001 -5.166807286999999 34.48668782599999 -5.17510573,2023-01-21 23:01:45.887,2023-01-21 23:09:09.893,,,,,,,,,
1837,jw01837001011_04101_00001_mirimage,F770W,No,science,Polygon 34.47821432000001 -5.144056011999998 34.50861914399999 -5.13602438 34.516946689999976 -5.1663224020000005 34.48666673999998 -5.174620853000001,2023-01-21 23:14:29.023,2023-01-21 23:21:53.029,,,,,,,,,
