Proposal,Observation,Instrument,Filter,Moving,Polygon,Exp Start,Exp End,Asteroids
1282,jw01282-o007_t012_miri_f1280w,MIRI,F1280W,No,Polygon 71.74488960699996 16.972885503000004 71.77810169700004 16.974204893999996 71.77950081300018 16.941916150000026 71.74629442000027 16.940596984999978,2023-03-04 10:53:33.670,2023-03-04 11:49:59.326,
1282,jw01282-o008_t013_miri_f1280w,MIRI,F1280W,No,Polygon 67.9282707440001 24.398215265999994 67.96310633500022 24.400298904000014 67.96542698799985 24.368051639000022 67.93060024299999 24.365968531999982,2023-02-27 23:44:40.728,2023-02-28 01:11:12.948,
1282,jw01282-o009_t014_miri_f1280w,MIRI,F1280W,No,Polygon 69.68077780800016 26.184917786000003 69.64546566000026 26.182271234000016 69.64246221600021 26.214481421000013 69.67778406500007 26.21712870499999,2023-09-27 22:50:05.748,2023-09-28 00:18:37.328,['2008 EG37']
1282,jw01282-o010_t015_miri_f1280w,MIRI,F1280W,No,Polygon 65.8807611660001 24.930652702000014 65.9157292709999 24.932953219000012 65.91830277699991 24.90072111799997 65.88334376099976 24.89842120199999,2023-02-20 13:55:56.500,2023-02-20 14:50:47.755,
1282,jw01282-o011_t016_miri_f1280w,MIRI,F1280W,No,Polygon 68.8964962369998 24.25616549000002 68.86171952800025 24.253747817999976 68.85901902699987 24.285976637999998 68.89380450600027 24.288394923000023,2023-09-28 00:47:56.717,2023-09-28 02:16:11.657,['1999 XY157']
1282,jw01282-o012_t017_miri_f1280w,MIRI,F1280W,No,Polygon 64.78226827699977 29.10083020200003 64.81856093999997 29.10311052300001 64.82120724499985 29.070876857000016 64.7849258789999 29.068597249,2023-02-20 12:40:27.544,2023-02-20 13:34:17.744,
1282,jw01282-o013_t018_miri_f1280w,MIRI,F1280W,No,Polygon 68.48447221099995 18.174459792000015 68.45101577999975 18.17361028999997 68.45010368000017 18.205921246000027 68.48356630699979 18.206770905000017,2023-10-01 23:36:11.776,2023-10-02 01:04:32.220,
1282,jw01282-o014_t019_miri_f1280w,MIRI,F1280W,No,Polygon 68.3801690889999 25.337607240999976 68.415278598 25.339575190999998 68.41748665100008 25.307320419000007 68.38238645700002 25.305352991999985,2023-02-28 01:35:54.808,2023-02-28 02:29:47.824,
1282,jw01282-o015_t020_miri_f1280w,MIRI,F1280W,No,Polygon 246.83935343200025 -24.651929290999984 246.87341604899996 -24.659304721999998 246.86516132399979 -24.690802037999998 246.83109059299986 -24.68342474399998,2023-08-25 09:12:47.634,2023-08-25 10:06:43.402,['1998 QM37']
1282,jw01282-o016_t021_miri_f1280w,MIRI,F1280W,No,Polygon 248.50693568500003 -15.801817801999976 248.53899436900022 -15.809516758000026 248.53086214899997 -15.840871914999981 248.49879880299977 -15.833171765000007,2023-08-25 10:34:50.618,2023-08-25 11:44:32.709,
1282,jw01282-o017_t022_miri_f1280w,MIRI,F1280W,No,Polygon 252.15899026800008 -14.274074771000024 252.19090593400023 -14.281432277000011 252.1831898859998 -14.312872010999998 252.15127001100012 -14.30551347600001,2023-08-25 12:06:19.784,2023-08-25 13:00:21.120,
1282,jw01282-o018_t023_miri_f1280w,MIRI,F1280W,No,Polygon 246.82573112200012 -24.323727711000014 246.791971221 -24.315680927000002 246.8009487219999 -24.284410778000016 246.83470087100025 -24.292455577999988,2024-03-16 14:59:26.681,2024-03-16 16:08:43.813,
1282,jw01282-o019_t002_miri_f1280w,MIRI,F1280W,No,Polygon 165.50162616099985 -34.72005225100002 165.47875247099986 -34.694908095000024 165.50962988199979 -34.67591878500002 165.53250770400007 -34.701057171,2023-01-24 02:30:45.468,2023-01-24 02:54:12.412,
1282,jw01282-o020_t024_miri_f1280w,MIRI,F1280W,No,Polygon 165.49202164600024 -34.726003036 165.4689580780001 -34.700628339 165.49993798599982 -34.681595045 165.52300574700024 -34.70696390399999,2023-01-24 03:13:04.665,2023-01-24 04:42:03.957,
